clave_propuesta,archivo,linea,tipo,texto_original,texto_con_marcadores,tiene_interpolacion,duplicado_de_n_sitios
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/SimilarItemsView.swift,90,Text,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/SyncSheets.swift,51,Button,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/SyncSheets.swift,133,Button,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/ThemesView.swift,171,Button,Cancelar,Cancelar,no,16
background-task-center-indicator.cancelar,studio/AuraStudio/Sources/AuraStudio/Views/ThemesView.swift,257,Button,Cancelar,Cancelar,no,16
background-task-center-indicator.nada-corriendo-ahora-mismo,studio/AuraStudio/Sources/AuraStudio/Views/BackgroundTaskCenterIndicator.swift,46,Text,Nada corriendo ahora mismo.,Nada corriendo ahora mismo.,no,
background-task-center-indicator.ver-lo-que-esta-corriendo-segundo,studio/AuraStudio/Sources/AuraStudio/Views/BackgroundTaskCenterIndicator.swift,28,.help,Ver lo que está corriendo en segundo plano,Ver lo que está corriendo en segundo plano,no,
batch-media-info-view.calificacion,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,188,Text,Calificación,Calificación,no,2
batch-media-info-view.calificacion,studio/AuraStudio/Sources/AuraStudio/Views/MediaInfoView.swift,151,Text,Calificación,Calificación,no,2
batch-media-info-view.canciones-seleccionadas,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,176,Text,\(items.count) canciones seleccionadas,%lld canciones seleccionadas,sí,
batch-media-info-view.editar-elementos,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,92,Button,Editar elementos,Editar elementos,no,2
batch-media-info-view.editar-elementos,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,255,Button,Editar elementos,Editar elementos,no,2
batch-media-info-view.editar-varios-elementos,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,177,Text,Editar varios elementos,Editar varios elementos,no,
batch-media-info-view.metadata,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,231,Text,Metadata,Metadata,no,2
batch-media-info-view.metadata,studio/AuraStudio/Sources/AuraStudio/Views/MediaInfoView.swift,161,Text,Metadata,Metadata,no,2
batch-media-info-view.mixto,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,195,Text,Mixto,Mixto,no,2
batch-media-info-view.mixto,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,216,Text,Mixto,Mixto,no,2
batch-media-info-view.no-editables-lote,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,210,Text,No editables en lote,No editables en lote,no,
batch-media-info-view.no-volver-mostrar,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,88,Toggle,No volver a mostrar,No volver a mostrar,no,
batch-media-info-view.quieres-editar-varios-elementos,studio/AuraStudio/Sources/AuraStudio/Views/BatchMediaInfoView.swift,83,Text,¿Quieres editar varios elementos?,¿Quieres editar varios elementos?,no,
